method,type,level,macro_f1
Strategy 5 (Taichi augmented RF),noise,sigma=0.1,0.494067
Strategy 5 (Taichi augmented RF),noise,sigma=0.5,0.337296
Strategy 5 (Taichi augmented RF),noise,sigma=1.0,0.26558
Strategy 5 (Taichi augmented RF),masking,p=0.1,0.616475
Strategy 5 (Taichi augmented RF),masking,p=0.25,0.491223
Strategy 5 (Taichi augmented RF),masking,p=0.5,0.297649
Strategy 5 (Taichi augmented RF),dropout_top,k=2,0.531745
Strategy 5 (Taichi augmented RF),dropout_top,k=4,0.314753
Strategy 5 (Taichi augmented RF),dropout_top,k=6,0.102873
Strategy 5 (Taichi augmented RF),dropout_bottom,k=2,0.673605
Strategy 5 (Taichi augmented RF),dropout_bottom,k=4,0.67188
Strategy 5 (Taichi augmented RF),dropout_bottom,k=6,0.669261
